"id";"nombre";"created_at";"updated_at";"deleted_at"
1;"Alfa  Romeo";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
2;"Audi";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
3;"BMW";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
4;"Brillance";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
5;"BYD";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
6;"Changan";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
7;"Chery";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
8;"Chevrolet";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
9;"Chrysler";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
10;"Citroen";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
11;"Daewoo";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
12;"Daihatsu";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
13;"Dodge";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
14;"Dongfeng";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
15;"Faw";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
16;"Fiat";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
17;"Ford";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
18;"Foton";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
19;"Geely";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
20;"Great Wall";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
21;"Hafei";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
22;"Haima";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
23;"Honda";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
24;"Hummer";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
25;"Hyundai";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
26;"JAC";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
27;"Jeep";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
28;"JMC";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
29;"Kia";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
30;"Lada";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
31;"Land Rover";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
32;"Lexus";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
33;"Lifan";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
34;"Mahindra";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
35;"Mazda";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
36;"Mercedes-Benz";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
37;"MG";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
38;"Mini";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
39;"Mitsubishi";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
40;"Nissan";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
41;"Peugeot";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
42;"Porsche";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
43;"RAM";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
44;"Renault";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
45;"Rover";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
46;"Seat";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
47;"Skoda";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
48;"SMA";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
49;"Ssang Yong";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
50;"Subaru";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
51;"Suzuki";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
52;"Toyota";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
53;"Volkswagen";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
54;"Volvo";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
55;"ZNA";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
56;"Zotye";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
57;"ZXAuto";"2017-04-28 21:35:36";"2017-04-28 21:35:36";""
